ID,degimpact,typimpact,lon,lat,area_calc,p_mean,et0_mean,arid_1,arid_2,frac_snow,forest_fra,urban_fra,bedrk_dep,root_dep,soil_condu,soil_tawc,geol_perme,geol_poros,h1981_baseflow_index_ladson,h1981_baseflow_index_lfstat,h1981_slope_fdc,h1981_hfd_mean,h1981_high_q_freq,h1981_low_q_freq,has_transfer,is_impacted,bfi,fdc_slope,aridity,impact_class,snow_class,aridity_class,storage_class,geology_class,size_class
576,m,L,4627221,2637297,227.306,2.99,2.02,0.68,0.45,0.24,0.565,0.002,0.81,0.69,0.067,0.11,-13.1,0.021,0.714,0.754,2.023,222.25,0.278,4.056,0,1,0.714,2.023,0.68,impact_m,snow_influenced,moderate_aridity,mixed_storage,low_perm,medium
577,l,-,4631858,2646538,29.553,2.95,2.09,0.71,0.51,0.24,0.75,0.0,0.9,0.63,0.085,0.1,-14.1,0.01,0.697,0.704,1.929,213.7,0.5,2.4,0,0,0.697,1.929,0.71,near_natural,snow_influenced,moderate_aridity,mixed_storage,low_perm,small
580,l,-,4654916,2661795,163.737,2.91,2.13,0.73,0.63,0.17,0.588,0.015,0.97,0.69,0.259,0.11,-12.3,0.034,0.828,0.854,1.159,193.522,0.0,0.0,0,0,0.828,1.159,0.73,near_natural,mixed_snow,moderate_aridity,high_storage,mixed_perm,medium
581,l,-,4659405,2653096,471.11,2.85,2.14,0.75,0.61,0.17,0.663,0.016,0.89,0.71,0.239,0.11,-12.6,0.022,0.794,0.809,1.176,201.889,0.028,0.0,0,0,0.794,1.176,0.75,near_natural,mixed_snow,moderate_aridity,high_storage,mixed_perm,large
596,m,"A,C",4651521,2619261,215.176,3.36,2.35,0.7,0.73,0.08,0.465,0.158,3.83,0.77,0.413,0.12,-12.9,0.071,0.697,0.735,1.831,164.083,0.25,11.111,0,1,0.697,1.831,0.7,impact_m,low_snow,moderate_aridity,mixed_storage,mixed_perm,medium
604,l,-,4692164,2658077,101.761,2.86,2.15,0.75,0.64,0.16,0.659,0.003,0.99,0.69,0.315,0.11,-13.1,0.012,0.812,0.828,1.087,205.75,0.15,0.0,0,0,0.812,1.087,0.75,near_natural,mixed_snow,moderate_aridity,high_storage,low_perm,small
611,l,-,4357820,2828432,11301.057,3.22,2.25,0.7,0.81,0.08,0.328,0.067,10.45,1.16,0.269,0.15,-11.5,0.168,0.763,0.742,1.242,185.417,0.0,0.0,0,0,0.763,1.242,0.7,near_natural,low_snow,moderate_aridity,high_storage,high_perm,large
612,l,-,4380006,2844492,15025.609,3.05,2.26,0.74,0.86,0.07,0.321,0.065,11.03,1.17,0.328,0.15,-11.5,0.176,0.76,0.746,1.232,180.0,0.0,0.0,0,0,0.76,1.232,0.74,near_natural,low_snow,moderate_aridity,high_storage,high_perm,large
624,l,-,4345391,2710166,126.341,5.21,2.27,0.44,0.58,0.28,0.288,0.01,0.58,0.62,0.037,0.09,-11.8,0.074,0.652,0.62,2.139,232.139,1.167,0.833,0,0,0.652,2.139,0.44,near_natural,snow_influenced,humid,low_storage,high_perm,medium
643,s,A,4369606,2772404,661.677,4.13,2.31,0.56,0.65,0.13,0.281,0.054,13.27,1.26,0.093,0.19,-11.6,0.217,0.613,0.545,1.822,191.139,1.111,0.5,0,1,0.613,1.822,0.56,impact_s,mixed_snow,moderate_aridity,low_storage,high_perm,large
647,m,B,4415656,2829785,695.236,2.73,2.33,0.85,0.98,0.05,0.235,0.07,18.54,1.3,0.566,0.16,-11.8,0.205,0.843,0.84,0.64,176.667,0.028,0.0,0,1,0.843,0.64,0.85,impact_m,low_snow,dry,high_storage,high_perm,large
649,l,-,4455470,2857587,372.73,2.39,2.3,0.96,1.06,0.05,0.242,0.054,13.7,1.3,0.656,0.17,-11.9,0.199,0.818,0.815,0.588,171.611,0.611,0.0,0,0,0.818,0.588,0.96,near_natural,low_snow,dry,high_storage,high_perm,medium
654,l,-,4420870,2880560,300.863,2.45,2.31,0.94,1.03,0.05,0.269,0.05,1.3,1.05,0.418,0.13,-12.1,0.173,0.566,0.52,2.21,147.0,8.227,16.871,0,0,0.566,2.21,0.94,near_natural,low_snow,dry,low_storage,high_perm,medium
662,l,-,4474823,2946183,712.382,2.53,2.13,0.84,0.99,0.07,0.478,0.043,1.38,1.24,0.678,0.14,-11.8,0.165,0.652,0.636,1.908,146.389,4.259,4.259,0,0,0.652,1.908,0.84,near_natural,low_snow,dry,low_storage,high_perm,large
667,s,A,4521224,2900224,1348.153,3.37,2.05,0.61,0.71,0.13,0.618,0.031,1.15,1.18,0.534,0.15,-14.1,0.01,0.715,0.695,1.526,171.194,0.957,0.0,0,1,0.715,1.526,0.61,impact_s,mixed_snow,moderate_aridity,mixed_storage,low_perm,large
671,m,A,4534348,2888459,835.686,3.48,2.05,0.59,0.67,0.14,0.651,0.03,1.15,1.18,0.506,0.15,-14.1,0.01,0.723,0.717,1.444,173.111,0.933,0.933,0,1,0.723,1.444,0.59,impact_m,mixed_snow,moderate_aridity,mixed_storage,low_perm,large
678,s,"A,E",4439873,2782596,2889.52,4.57,2.33,0.51,0.67,0.22,0.532,0.048,4.73,0.78,0.153,0.12,-11.6,0.122,0.694,0.63,1.64,225.444,0.417,0.111,0,1,0.694,1.64,0.51,impact_s,mixed_snow,humid,mixed_storage,high_perm,large
679,s,"A,E",4450791,2810949,3520.287,4.33,2.34,0.54,0.69,0.19,0.502,0.077,10.04,0.88,0.215,0.13,-11.4,0.146,0.743,0.746,0.862,228.167,2.917,0.278,0,1,0.743,0.862,0.54,impact_s,mixed_snow,humid,high_storage,high_perm,large
684,l,-,4420563,2729099,652.834,4.66,2.33,0.5,0.65,0.25,0.572,0.036,2.67,0.71,0.116,0.12,-11.7,0.101,0.753,0.744,1.515,228.028,0.167,0.0,0,0,0.753,1.515,0.5,near_natural,snow_influenced,humid,high_storage,high_perm,large
688,l,D,4405180,2774591,1001.468,3.81,2.38,0.62,0.75,0.12,0.408,0.051,10.05,1.19,0.185,0.17,-11.6,0.204,0.772,0.813,1.325,203.75,0.0,0.0,0,1,0.772,1.325,0.62,impact_l,mixed_snow,moderate_aridity,high_storage,high_perm,large
691,m,E,4459007,2818102,3129.061,3.23,2.37,0.73,0.85,0.07,0.296,0.1,19.01,1.27,0.364,0.18,-11.5,0.218,0.834,0.871,0.884,189.222,0.0,0.0,0,1,0.834,0.884,0.73,impact_m,low_snow,moderate_aridity,high_storage,high_perm,large
698,l,-,4433982,2813735,390.399,2.76,2.31,0.84,0.96,0.05,0.177,0.051,18.82,1.3,0.419,0.16,-12.2,0.196,0.734,0.702,0.989,169.889,1.75,0.0,0,0,0.734,0.989,0.84,near_natural,low_snow,dry,high_storage,mixed_perm,medium
699,l,-,4467796,2813029,133.719,2.82,2.38,0.84,0.98,0.05,0.122,0.042,27.3,1.3,0.381,0.16,-11.7,0.217,0.66,0.617,1.215,167.5,2.696,0.0,0,0,0.66,1.215,0.84,near_natural,low_snow,dry,mixed_storage,high_perm,medium
703,l,-,4496021,2818335,314.945,2.87,2.33,0.81,0.97,0.05,0.122,0.03,17.06,1.3,0.36,0.16,-12.2,0.194,0.656,0.603,0.849,162.139,3.89,1.139,0,0,0.656,0.849,0.81,near_natural,low_snow,dry,mixed_storage,mixed_perm,medium
706,l,-,4569645,2840692,213.173,2.68,2.17,0.81,0.84,0.08,0.441,0.041,2.68,1.24,0.824,0.14,-14.0,0.017,0.627,0.595,1.855,152.972,4.997,3.573,0,0,0.627,1.855,0.81,near_natural,low_snow,dry,low_storage,low_perm,medium
710,s,A,4486109,2728052,9719.543,4.22,2.07,0.49,0.67,0.39,0.304,0.028,0.71,0.62,0.07,0.09,-12.2,0.036,0.805,0.8,1.892,246.972,0.0,0.111,0,1,0.805,1.892,0.49,impact_s,snow_influenced,humid,high_storage,mixed_perm,large
717,s,"A,E",4480151,2750193,1077.945,4.28,2.39,0.56,0.69,0.14,0.474,0.052,9.54,1.08,0.119,0.15,-11.5,0.177,0.595,0.541,2.465,206.222,1.365,22.144,0,1,0.595,2.465,0.56,impact_s,mixed_snow,moderate_aridity,low_storage,high_perm,large
718,l,-,4453750,2730656,96.458,5.12,2.37,0.46,0.65,0.25,0.851,0.005,0.64,0.64,0.077,0.09,-11.7,0.072,0.612,0.568,1.866,208.333,2.227,0.306,0,0,0.612,1.866,0.46,near_natural,snow_influenced,humid,low_storage,high_perm,small
725,l,-,4519138,2749317,181.516,5.23,2.29,0.44,0.63,0.19,0.758,0.026,0.8,0.71,0.04,0.1,-11.7,0.084,0.684,0.665,1.453,205.5,1.195,0.0,0,0,0.684,1.453,0.44,near_natural,mixed_snow,humid,mixed_storage,high_perm,medium
728,s,"A,E,I",4531908,2786834,6684.168,4.72,2.13,0.45,0.57,0.28,0.43,0.039,3.18,0.65,0.06,0.1,-12.0,0.067,0.765,0.754,1.634,231.611,0.167,0.0,0,1,0.765,1.634,0.45,impact_s,snow_influenced,humid,high_storage,high_perm,large
740,l,-,4194304,2766772,16.807,3.96,2.06,0.52,0.51,0.1,0.669,0.0,1.0,1.24,0.041,0.16,-14.1,0.01,0.572,0.521,2.325,146.5,5.25,25.028,0,0,0.572,2.325,0.52,near_natural,low_snow,humid,low_storage,low_perm,small
747,m,B,4324616,2772612,136.338,3.26,2.26,0.69,0.76,0.07,0.348,0.02,15.0,1.3,0.238,0.16,-11.3,0.236,0.731,0.7,0.97,176.722,0.306,0.056,0,1,0.731,0.97,0.69,impact_m,low_snow,moderate_aridity,high_storage,high_perm,medium
748,l,-,4231059,2764600,82.129,2.95,2.16,0.73,0.86,0.08,0.457,0.083,1.01,0.81,0.192,0.11,-12.2,0.135,0.617,0.591,2.474,161.361,2.417,34.222,0,0,0.617,2.474,0.73,near_natural,low_snow,moderate_aridity,low_storage,mixed_perm,small
758,l,-,4336727,2829583,314.105,2.71,2.22,0.82,0.91,0.06,0.347,0.043,1.64,0.9,0.255,0.12,-11.9,0.094,0.763,0.882,4.043,188.722,20.062,112.006,0,0,0.763,4.043,0.82,near_natural,low_snow,dry,high_storage,high_perm,medium
769,l,-,4316760,2774820,59.636,3.08,2.26,0.73,0.82,0.06,0.223,0.069,14.05,1.3,0.249,0.16,-11.6,0.222,0.755,0.726,0.661,175.778,0.861,0.0,0,0,0.755,0.661,0.73,near_natural,low_snow,moderate_aridity,high_storage,high_perm,small
773,l,-,4319906,2762656,30.195,3.39,2.26,0.67,0.71,0.08,0.423,0.012,14.7,1.3,0.313,0.17,-13.1,0.215,0.796,0.778,0.607,179.519,0.704,0.0,0,0,0.796,0.607,0.67,near_natural,low_snow,moderate_aridity,high_storage,low_perm,small
777,u,-,4330501,2737179,19.023,4.38,2.26,0.52,0.54,0.14,0.886,0.0,3.13,1.22,0.317,0.17,-11.5,0.211,0.564,0.499,1.957,176.414,3.035,11.38,0,0,0.564,1.957,0.52,near_natural,mixed_snow,humid,low_storage,high_perm,small
787,m,G,4289789,2793685,327.046,2.93,2.16,0.74,0.85,0.08,0.426,0.043,1.34,0.98,0.178,0.13,-11.8,0.064,0.794,0.853,1.727,185.25,0.0,0.899,0,1,0.794,1.727,0.74,impact_m,low_snow,moderate_aridity,high_storage,high_perm,medium
790,s,"E,M",4346785,2861075,106.956,2.52,2.29,0.91,1.03,0.06,0.226,0.048,1.19,1.17,0.329,0.16,-12.7,0.176,0.423,0.341,2.982,138.5,19.784,87.491,0,1,0.423,2.982,0.91,impact_s,low_snow,dry,low_storage,mixed_perm,small
793,m,B,4324144,2765111,39.924,3.31,2.26,0.68,0.74,0.07,0.4,0.012,16.49,1.3,0.225,0.16,-11.2,0.247,0.758,0.727,0.782,175.2,0.3,0.0,0,1,0.758,0.782,0.68,impact_m,low_snow,moderate_aridity,high_storage,high_perm,small
805,s,"A,E",4278704,2622566,1586.59,3.92,2.08,0.53,0.57,0.42,0.204,0.01,0.75,0.96,0.05,0.11,-12.0,0.085,0.628,0.458,2.147,242.639,0.472,9.556,0,1,0.628,2.147,0.53,impact_s,snow_influenced,humid,low_storage,high_perm,large
806,s,"A,E",4279471,2636176,3233.159,4.35,2.12,0.49,0.52,0.4,0.217,0.012,0.78,0.95,0.041,0.11,-12.1,0.088,0.725,0.631,1.546,239.429,0.107,2.679,0,1,0.725,1.546,0.49,impact_s,snow_influenced,humid,mixed_storage,high_perm,large
813,l,-,4313791,2597016,107.1,3.41,1.86,0.55,0.74,0.52,0.051,0.007,0.62,0.58,0.03,0.07,-12.1,0.046,0.64,0.673,5.995,273.0,9.445,140.844,0,0,0.64,5.995,0.55,near_natural,snow_influenced,moderate_aridity,low_storage,high_perm,small
819,l,-,4330056,2619984,27.162,3.37,1.93,0.57,0.76,0.48,0.058,0.0,0.48,1.3,0.031,0.15,-11.5,0.095,0.66,0.668,3.079,254.028,3.611,15.639,0,0,0.66,3.079,0.57,near_natural,snow_influenced,moderate_aridity,mixed_storage,high_perm,small
826,m,K,4811891,2995596,446.791,2.15,2.19,1.02,1.35,0.14,0.375,0.05,4.17,1.11,0.284,0.15,-12.4,0.094,0.591,0.578,2.326,164.722,5.694,38.222,0,1,0.591,2.326,1.02,impact_m,mixed_snow,dry,low_storage,mixed_perm,large
828,m,K,4819751,2982637,573.409,2.03,2.31,1.14,1.47,0.12,0.413,0.044,2.33,1.23,0.317,0.16,-12.5,0.161,0.637,0.61,1.668,178.611,4.167,1.083,0,1,0.637,1.668,1.14,impact_m,mixed_snow,dry,low_storage,mixed_perm,large
833,m,A,4897819,2957057,719.664,2.66,2.25,0.85,0.99,0.14,0.613,0.042,0.97,1.24,0.317,0.15,-14.4,0.184,0.453,0.384,2.768,174.5,15.611,61.111,0,1,0.453,2.768,0.85,impact_m,mixed_snow,dry,low_storage,low_perm,large
836,m,A,4857358,2953352,1598.467,2.49,2.3,0.92,1.07,0.13,0.474,0.067,2.87,1.21,0.29,0.15,-12.6,0.186,0.496,0.434,2.734,178.5,8.778,52.056,0,1,0.496,2.734,0.92,impact_m,mixed_snow,dry,low_storage,mixed_perm,large
840,m,"A,K",4858215,2936928,7022.223,2.18,2.31,1.06,1.28,0.12,0.36,0.066,8.0,1.23,0.285,0.16,-12.4,0.147,0.622,0.594,2.192,176.889,2.806,15.778,0,1,0.622,2.192,1.06,impact_m,mixed_snow,dry,low_storage,mixed_perm,large
847,s,A,4879121,2907105,401.926,2.23,2.52,1.13,1.34,0.11,0.378,0.058,1.05,1.27,0.332,0.15,-12.9,0.19,0.504,0.459,2.671,171.333,12.056,66.0,0,1,0.504,2.671,1.13,impact_s,low_snow,dry,low_storage,mixed_perm,large
865,s,A,4801029,2918528,1634.092,2.12,2.3,1.08,1.47,0.12,0.385,0.051,1.23,1.22,0.637,0.16,-13.0,0.038,0.681,0.633,1.658,168.621,2.966,2.621,0,1,0.681,1.658,1.08,impact_s,mixed_snow,dry,mixed_storage,mixed_perm,large
867,s,A,4796721,2956776,426.42,2.2,2.28,1.04,1.45,0.12,0.31,0.059,1.09,1.17,0.424,0.15,-12.2,0.125,0.77,0.764,1.157,183.972,1.111,0.0,0,1,0.77,1.157,1.04,impact_s,mixed_snow,dry,high_storage,mixed_perm,large
869,s,"A,K",4806381,2925642,1126.32,2.09,2.32,1.11,1.47,0.11,0.411,0.063,1.46,1.18,0.5,0.15,-12.4,0.116,0.697,0.683,1.437,180.139,2.472,0.639,0,1,0.697,1.437,1.11,impact_s,low_snow,dry,mixed_storage,mixed_perm,large
879,m,K,4781406,2901717,566.36,1.84,2.43,1.32,1.61,0.1,0.235,0.049,1.41,1.2,0.377,0.16,-12.0,0.051,0.602,0.568,2.28,167.278,7.472,48.139,0,1,0.602,2.28,1.32,impact_m,low_snow,dry,low_storage,high_perm,large
882,s,A,4844983,2914918,27.455,1.92,2.49,1.3,1.37,0.08,0.797,0.029,1.0,1.18,0.407,0.15,-13.9,0.176,0.552,0.511,1.525,189.75,10.917,29.694,0,1,0.552,1.525,1.3,impact_s,low_snow,dry,low_storage,low_perm,small
