ID,area_calc,elev_mean,elev_med,elev_std,elev_ran,slope_mean,mvert_dist,mvert_ang,elon_ratio,strm_dens,p_mean,et0_mean,eta_mean,arid_1,arid_2,p_season,frac_snow,hi_prec_fr,hi_prec_du,hi_prec_ti,lo_prec_fr,lo_prec_du,lo_prec_ti,lc_dom,agr_fra,bare_fra,forest_fra,glac_fra,lake_fra,urban_fra,lai_max,lai_diff,ndvi_max,ndvi_min,gvf_max,gvf_diff,bedrk_dep,root_dep,soil_poros,soil_condu,soil_tawc,sand_fra,silt_fra,clay_fra,grav_fra,oc_fra,gc_dom,gc_ig_fra,gc_mt_fra,gc_pa_fra,gc_pb_fra,gc_pi_fra,gc_py_fra,gc_sc_fra,gc_sm_fra,gc_ss_fra,gc_su_fra,gc_va_fra,gc_vb_fra,gc_wb_fra,geol_perme,geol_poros,govnr,name,river,area_gov,elev,lon,lat,country,fedstate,region,obsbeg_day,obsbeg_hr,obsend,gaps_pre,gaps_post,area_ratio,nrs_euhyd,nrs_rivat,typimpact,diur_art,diur_glac,degimpact,h1989_q_mean,h1989_runoff_ratio,h1989_stream_elas,h1989_slope_fdc,h1989_baseflow_index_ladson,h1989_baseflow_index_lfstat,h1989_hfd_mean,h1989_Q5,h1989_Q95,h1989_high_q_freq,h1989_high_q_dur,h1989_low_q_freq,h1989_low_q_dur,h1989_zero_q_freq,h1981_q_mean,h1981_runoff_ratio,h1981_stream_elas,h1981_slope_fdc,h1981_baseflow_index_ladson,h1981_baseflow_index_lfstat,h1981_hfd_mean,h1981_Q5,h1981_Q95,h1981_high_q_freq,h1981_high_q_dur,h1981_low_q_freq,h1981_low_q_dur,h1981_zero_q_freq,wb_P,wb_PCRPS,wb_PERA5,wb_PMSW,wb_PET,wb_ET0,wb_ETA,wb_Q1,wb_Q2,transfer_count,has_transfer,is_impacted,valid_runoff_days
150,70.298,466,462,35,177,57,8.1,251,1.165,0.32,3.59,2.27,1.68,0.63,0.72,0.29,0.08,10.9,1.16,,182.4,3.12,djf,231,0.626,0.0,0.276,0.0,0.004,0.053,3.7,3.28,0.77,0.27,0.99,0.72,19.72,1.17,0.57,0.217,0.2,0.414,0.325,0.261,0.082,0.075,sm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-15.0,0.19,204545,Steinwag,Moosache,69.9,419,4539609,2773047,AUT,UAT,Salzach,1981,1976,0,0.0,0.0,1.006,RL35114055,20425058.0,-,0,0,l,1.006,0.28,1.853,2.592,0.422,0.336,181.6,0.112,3.802,14.75,2.218,61.15,6.871,0.0,1.001,0.281,1.889,2.518,0.434,0.349,181.556,0.123,3.724,14.194,2.231,52.611,6.838,0.0,3.59,3.09,2.98,3.44,3.18,2.27,1.68,1.01,1.0,0,0,0,13514
154,135.497,553,541,56,350,61,22.2,15,0.591,0.49,3.91,2.28,1.67,0.58,0.7,0.29,0.1,10.0,1.16,jja,177.45,3.07,djf,231,0.66,0.0,0.176,0.0,0.073,0.081,3.64,3.25,0.76,0.21,1.03,0.84,9.75,0.9,0.53,0.095,0.16,0.407,0.342,0.251,0.063,0.044,sm,0.0,0.0,0.0,0.0,0.0,0.0,0.156,0.774,0.0,0.0,0.0,0.0,0.069,-12.6,0.172,204610,Pfaffstaett,Mattig,136.0,455,4555353,2778674,AUT,UAT,Inn under Salzach,1981,1976,0,0.0,0.0,0.996,RL35114399,20424348.0,-,0,0,l,1.444,0.369,1.139,1.487,0.71,0.731,185.15,0.42,3.319,1.1,1.833,6.35,12.7,0.0,1.413,0.364,1.394,1.429,0.706,0.714,185.361,0.425,3.325,1.278,1.769,7.75,10.731,0.0,3.91,3.21,3.59,3.38,3.07,2.28,1.67,1.44,1.41,0,0,0,13514
163,23.498,616,615,49,257,102,6.0,51,0.905,0.48,3.52,2.22,1.93,0.63,0.68,0.25,0.11,10.55,1.19,jja,184.5,3.14,djf,312,0.536,0.0,0.445,0.0,0.0,0.019,4.07,3.62,0.78,0.29,0.91,0.65,5.07,0.61,0.47,0.246,0.1,0.423,0.366,0.211,0.101,0.009,sm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-15.0,0.19,204685,Waldzell,Waldzeller Ache,24.0,509,4576002,2785906,AUT,UAT,Inn under Salzach,1981,1977,0,0.0,0.0,0.979,RL35114642,20422414.0,-,0,0,l,1.967,0.559,0.809,1.151,0.627,0.569,175.4,0.791,4.801,4.05,1.446,0.0,0.0,0.0,1.931,0.555,1.004,1.08,0.639,0.588,172.111,0.802,4.678,3.722,1.441,0.083,1.5,0.0,3.52,3.18,3.2,3.32,7.96,2.22,1.93,1.97,1.93,0,0,0,13514
177,39.257,408,405,35,173,50,10.3,1,0.683,0.48,2.93,2.23,1.61,0.76,0.87,0.23,0.05,11.8,1.18,jja,195.8,3.36,son,211,0.908,0.0,0.058,0.0,0.0,0.034,2.39,2.1,0.7,0.21,0.83,0.66,12.13,0.54,0.48,0.36,0.09,0.432,0.301,0.267,0.059,0.006,sm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-15.0,0.19,206268,Lohstampf,Messenbach,39.3,339,4585276,2813258,AUT,UAT,Inn under Salzach,1981,1978,0,0.0,0.0,0.999,RL35124795,20415910.0,-,0,0,l,1.102,0.376,2.009,2.644,0.462,0.377,151.4,0.11,3.705,11.55,1.674,68.15,7.174,0.0,1.123,0.387,1.39,2.629,0.461,0.385,152.917,0.114,3.892,12.5,1.685,67.583,7.395,0.0,2.93,2.83,2.61,2.57,3.75,2.23,1.61,1.1,1.12,0,0,0,13514
182,200.641,601,585,86,654,121,25.8,164,0.619,0.53,2.62,2.18,1.56,0.83,0.77,0.25,0.1,13.15,1.2,jja,201.15,3.36,son,231,0.632,0.0,0.331,0.0,0.0,0.035,3.34,3.1,0.74,0.16,0.95,0.85,1.04,1.2,0.43,0.582,0.14,0.664,0.188,0.148,0.092,0.006,mt,0.0,0.631,0.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.1,0.01,204883,Obermuehl,Kleine Muehl,200.2,284,4611078,2823686,AUT,UAT,Danube between Inn and Traun,1981,1976,0,0.0,0.0,1.002,RL35125495,20413130.0,G,0,0,m,1.366,0.522,1.489,2.189,0.634,0.621,156.5,0.316,4.262,4.2,1.787,9.65,6.031,0.0,1.346,0.517,1.19,2.152,0.636,0.616,156.972,0.323,4.037,3.917,1.855,8.167,5.444,0.0,2.62,2.75,2.8,2.78,3.54,2.18,1.56,1.37,1.35,0,0,1,13514
183,123.278,771,727,154,789,101,12.6,142,0.993,0.8,2.82,2.09,1.54,0.74,0.66,0.22,0.14,12.45,1.2,jja,194.15,3.27,son,231,0.544,0.0,0.411,0.0,0.0,0.018,3.88,3.69,0.76,0.12,0.91,0.88,1.11,1.18,0.43,0.479,0.14,0.626,0.221,0.153,0.101,0.006,pa,0.0,0.393,0.604,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.1,0.01,204891,Vorderanger,Grosse Muehl,125.3,589,4603750,2850320,AUT,UAT,Danube between Inn and Traun,1981,1976,0,0.046,0.043,0.984,RL35126860,20406370.0,-,0,0,l,2.062,0.73,1.29,1.652,0.657,0.661,167.25,0.599,6.45,3.55,1.42,1.95,7.8,0.0,2.009,0.719,1.274,1.562,0.665,0.667,173.417,0.624,6.028,2.889,1.507,1.417,5.1,0.0,2.82,2.99,2.93,2.99,3.37,2.09,1.54,2.06,2.01,0,0,0,13512
185,138.094,758,770,111,559,107,15.8,271,0.837,0.6,2.61,2.15,1.58,0.82,0.75,0.32,0.12,12.95,1.18,jja,198.75,3.26,djf,312,0.486,0.0,0.483,0.0,0.0,0.024,3.9,3.63,0.75,0.16,0.92,0.82,1.03,0.91,0.43,0.674,0.12,0.663,0.207,0.131,0.089,0.018,pa,0.0,0.423,0.577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.1,0.01,204925,Hartmannsdorf,Steinerne Muehl,137.9,500,4619789,2837010,AUT,UAT,Danube between Inn and Traun,1981,1976,0,0.0,0.0,1.001,RL35126240,20410783.0,-,0,0,l,1.279,0.49,0.117,1.702,0.683,0.701,170.6,0.383,3.428,1.75,1.944,1.8,7.2,0.0,1.235,0.475,1.107,1.637,0.693,0.705,176.75,0.38,3.213,1.472,1.893,2.611,8.545,0.0,2.61,2.75,2.78,2.64,3.53,2.15,1.58,1.28,1.24,0,0,0,13514
191,26.129,410,409,16,117,48,8.5,68,0.675,0.35,2.87,2.25,1.59,0.78,0.83,0.22,0.06,11.95,1.18,jja,198.0,3.38,son,211,0.826,0.0,0.046,0.0,0.0,0.127,2.21,1.93,0.68,0.2,0.81,0.66,14.27,0.5,0.48,0.335,0.09,0.436,0.288,0.276,0.055,0.006,sm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-15.0,0.19,205047,Neumarkt im Hausruckkreis,Duerre Aschach,25.8,377,4598598,2802527,AUT,UAT,Danube between Inn and Traun,1981,1976,0,0.0,0.0,1.013,RL35124406,20418307.0,-,0,0,l,1.202,0.419,1.668,1.666,0.515,0.467,157.9,0.195,3.511,8.45,1.641,26.7,5.449,0.0,1.122,0.395,1.306,1.727,0.531,0.479,154.944,0.202,3.243,8.028,1.624,22.556,5.043,0.0,2.87,2.85,2.63,3.11,3.86,2.25,1.59,1.2,1.12,0,0,0,13514
194,48.001,482,459,53,247,72,8.3,142,0.948,0.47,2.69,2.21,1.58,0.82,0.81,0.22,0.07,12.85,1.18,jja,201.65,3.42,son,312,0.681,0.0,0.284,0.0,0.0,0.035,3.23,2.94,0.75,0.19,0.93,0.79,9.42,0.99,0.45,0.415,0.12,0.577,0.224,0.199,0.077,0.005,sm,0.0,0.377,0.174,0.0,0.0,0.0,0.0,0.449,0.0,0.0,0.0,0.0,0.0,-14.3,0.091,206177,Knotzberg,Leitenbach,48.4,418,4599821,2813601,AUT,UAT,Danube between Inn and Traun,1981,1977,0,0.0,0.0,0.992,RL35124812,20415811.0,-,0,0,l,1.503,0.558,1.664,1.915,0.488,0.433,154.5,0.308,4.864,12.05,1.854,17.15,5.359,0.0,1.469,0.549,1.165,1.788,0.489,0.432,155.444,0.29,4.828,12.361,1.839,19.278,5.983,0.0,2.69,2.82,2.6,2.68,3.82,2.21,1.58,1.5,1.47,0,0,0,13514
204,329.036,1325,1347,427,1924,268,30.4,233,0.673,0.48,5.24,2.01,1.28,0.38,0.48,0.34,0.3,8.2,1.24,jja,150.1,2.69,djf,312,0.062,0.191,0.415,0.0,0.022,0.029,3.01,2.9,0.67,0.07,0.81,0.86,0.99,0.47,0.48,0.036,0.08,0.392,0.378,0.229,0.143,0.015,sc,0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.0,0.0,0.0,0.0,0.0,0.005,-11.8,0.061,205104,Obertraun,Traun,317.4,526,4601056,2723737,AUT,UAT,Traun,1981,1977,0,0.0,0.0,1.037,RL35080306,20438905.0,D,0,0,l,5.481,1.046,1.512,2.876,0.609,0.601,229.85,1.0,16.159,1.1,1.833,26.95,8.983,0.0,5.405,1.044,1.413,2.901,0.61,0.593,230.417,1.004,16.018,0.778,1.75,25.639,8.875,0.0,5.24,4.32,4.9,4.42,5.84,2.01,1.28,5.48,5.41,0,0,1,13514
216,246.484,698,681,156,1257,154,24.2,97,0.732,0.57,4.55,2.25,1.85,0.49,0.61,0.31,0.17,8.35,1.16,jja,163.5,2.83,djf,231,0.38,0.005,0.443,0.0,0.086,0.071,3.94,3.63,0.75,0.18,0.93,0.8,1.55,0.67,0.47,0.062,0.11,0.417,0.354,0.228,0.084,0.008,sm,0.0,0.0,0.0,0.0,0.0,0.0,0.189,0.72,0.0,0.0,0.0,0.0,0.091,-12.5,0.168,206185,See am Mondsee (Au),Seeache,247.4,477,4579733,2749361,AUT,SBG,Traun,1981,1977,0,0.0,0.0,0.996,RL35056699,20431906.0,C,0,0,m,3.182,0.699,1.239,1.861,0.621,0.572,184.65,0.984,8.525,0.1,1.0,0.6,2.0,0.0,3.173,0.703,1.195,1.812,0.622,0.576,185.583,0.992,8.495,0.5,2.25,0.333,2.0,0.0,4.55,3.74,3.85,3.64,6.32,2.25,1.85,3.18,3.17,0,0,1,13514
219,98.028,647,613,94,502,93,14.5,19,0.772,0.53,3.92,2.2,1.83,0.56,0.63,0.28,0.12,9.65,1.17,jja,177.2,3.02,djf,231,0.527,0.0,0.413,0.0,0.0,0.056,4.38,3.95,0.8,0.22,1.04,0.86,6.58,0.5,0.47,0.102,0.08,0.424,0.349,0.228,0.072,0.008,sm,0.0,0.0,0.0,0.0,0.0,0.0,0.065,0.935,0.0,0.0,0.0,0.0,0.0,-13.0,0.182,205377,Stauf,Voeckla,99.7,503,4578038,2769635,AUT,UAT,Traun,1981,1977,0,0.0,0.0,0.983,RL35113929,20426528.0,-,0,0,l,2.341,0.597,1.505,1.09,0.673,0.641,179.6,1.036,5.777,2.3,1.314,0.0,0.0,0.0,2.327,0.597,1.467,1.08,0.672,0.641,178.778,1.026,5.721,2.25,1.328,0.0,0.0,0.0,3.92,3.53,3.76,3.46,5.33,2.2,1.83,2.34,2.33,0,0,0,13514
234,3420.11,844,700,432,2549,206,81.1,16,0.814,0.61,4.45,2.17,1.57,0.49,0.58,0.3,0.19,8.4,1.19,jja,159.9,2.79,djf,313,0.266,0.061,0.483,0.001,0.037,0.06,3.42,3.15,0.71,0.17,0.85,0.73,4.0,0.54,0.48,0.096,0.09,0.394,0.378,0.227,0.104,0.012,sc,0.0,0.0,0.0,0.0,0.0,0.0,0.498,0.467,0.0,0.0,0.0,0.0,0.035,-12.1,0.126,206409,Wels-Lichtenegg (Summenstation),Traun m.Welser Muehlbach,3387.1,309,4618355,2788875,AUT,UAT,Traun,1981,1951,0,0.0,0.0,1.01,RL35123093,20422061.0,C,1,0,s,3.325,0.748,1.302,1.728,0.697,0.653,211.3,1.198,7.295,0.2,1.333,0.0,0.0,0.0,3.269,0.743,1.107,1.755,0.7,0.66,213.0,1.187,7.149,0.167,1.5,0.0,0.0,0.0,4.45,3.94,4.02,3.9,4.97,2.17,1.57,3.33,3.27,0,0,1,13514
241,106.654,627,655,154,617,100,17.6,155,0.661,0.45,2.6,2.23,1.59,0.86,0.88,0.32,0.1,13.55,1.18,jja,201.45,3.26,djf,312,0.57,0.0,0.347,0.0,0.0,0.083,3.26,3.02,0.73,0.19,0.91,0.77,1.25,0.92,0.45,0.799,0.12,0.542,0.281,0.177,0.115,0.008,pa,0.0,0.41,0.517,0.0,0.0,0.0,0.0,0.073,0.0,0.0,0.0,0.0,0.0,-14.2,0.023,206573,Engerwitzdorf,Grosse Gusen,106.7,313,4650261,2813249,AUT,UAT,Danube between Traun and Enns,1981,1981,0,0.0,0.0,1.0,RL35124821,20416144.0,-,0,0,l,0.871,0.335,0.684,2.361,0.57,0.542,166.3,0.122,2.691,6.5,2.167,41.6,6.992,0.0,0.835,0.324,1.919,2.415,0.581,0.552,165.694,0.118,2.6,6.167,2.198,38.222,7.056,0.0,2.6,2.56,2.64,2.34,3.66,2.23,1.59,0.87,0.84,0,0,0,13514
256,281.301,1090,1049,195,1231,277,17.1,207,1.104,0.79,3.82,2.23,1.68,0.58,0.67,0.39,0.22,10.2,1.23,jja,164.7,2.75,djf,312,0.078,0.014,0.847,0.0,0.0,0.011,3.98,3.61,0.73,0.23,0.81,0.64,0.73,0.46,0.49,0.082,0.08,0.365,0.391,0.244,0.119,0.016,sc,0.0,0.017,0.0,0.0,0.0,0.0,0.915,0.044,0.0,0.0,0.024,0.0,0.0,-11.8,0.066,210864,Gusswerk,Salza,280.0,736,4718685,2750661,AUT,STY,Enns,1981,1976,0,0.0,0.0,1.005,RL35083390,20434136.0,G,0,0,m,2.348,0.614,1.905,1.814,0.675,0.664,198.9,0.721,6.063,1.55,1.55,1.85,6.167,0.0,2.26,0.594,1.754,1.782,0.686,0.682,199.861,0.715,5.853,1.278,1.438,1.194,3.909,0.0,3.82,3.07,3.71,3.53,7.98,2.23,1.68,2.35,2.26,0,0,1,13514
257,54.409,1172,1169,229,1191,297,9.4,197,0.887,0.68,3.98,2.15,1.49,0.54,0.63,0.36,0.27,9.95,1.21,jja,163.05,2.75,djf,312,0.02,0.022,0.869,0.0,0.0,0.0,3.9,3.56,0.73,0.2,0.82,0.69,0.67,0.34,0.5,0.067,0.06,0.313,0.39,0.297,0.1,0.017,sc,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.8,0.06,210880,Weichselboden,Radmerbach (Buchbach),54.1,669,4709181,2742680,AUT,STY,Enns,1981,1976,0,14.522,14.519,1.006,RL35082353,20435679.0,G,0,0,m,3.297,0.828,2.314,3.151,0.419,0.347,203.15,0.302,13.069,20.5,2.412,91.05,9.06,0.0,3.204,0.803,0.933,2.939,0.446,0.37,208.139,0.338,12.4,16.074,2.111,76.564,8.484,0.0,3.98,3.4,4.03,3.51,7.4,2.15,1.49,3.3,3.2,0,0,1,13317
262,168.996,868,856,237,1364,339,19.7,345,0.745,0.89,4.15,2.23,1.75,0.54,0.79,0.37,0.2,10.05,1.23,jja,164.5,2.73,djf,312,0.02,0.008,0.915,0.0,0.0,0.003,4.9,4.55,0.79,0.25,0.87,0.67,0.71,0.37,0.49,0.053,0.07,0.354,0.426,0.221,0.123,0.02,sc,0.0,0.0,0.0,0.0,0.0,0.0,0.815,0.185,0.0,0.0,0.0,0.0,0.0,-11.9,0.084,205740,Reichraming,Reichramingbach,168.6,348,4654134,2762569,AUT,UAT,Enns,1981,1976,0,0.0,0.0,1.002,RL35085088,20430341.0,-,0,0,l,3.382,0.815,1.814,2.195,0.515,0.438,189.9,0.733,10.409,6.7,1.718,13.65,4.964,0.0,3.251,0.792,1.572,2.096,0.526,0.451,189.528,0.724,9.86,6.417,1.662,9.556,5.292,0.0,4.15,3.38,3.62,3.21,8.03,2.23,1.75,3.38,3.25,0,0,0,13514
273,233.334,1036,960,361,1867,291,21.6,301,0.797,0.75,4.59,2.15,1.5,0.47,0.67,0.39,0.24,8.6,1.22,jja,155.65,2.69,djf,312,0.196,0.075,0.6,0.0,0.0,0.022,4.06,3.87,0.74,0.14,0.86,0.81,0.97,0.47,0.48,0.048,0.08,0.37,0.406,0.224,0.126,0.017,sc,0.0,0.0,0.0,0.0,0.0,0.0,0.741,0.259,0.0,0.0,0.0,0.0,0.0,-11.9,0.094,205831,St. Pankraz,Teichl,232.8,485,4636495,2748106,AUT,UAT,Enns,1981,1977,0,0.0,0.0,1.002,RL35083104,20433646.0,G,0,0,m,3.976,0.866,1.438,2.16,0.652,0.624,218.1,1.094,10.341,1.2,1.5,1.55,5.167,0.0,3.843,0.847,1.62,2.124,0.657,0.631,218.861,1.082,9.91,0.972,1.346,0.778,4.0,0.0,4.59,3.66,4.47,3.56,7.2,2.15,1.5,3.98,3.84,0,0,1,13514
282,71.268,577,588,132,708,175,18.8,305,0.506,0.45,3.38,2.27,1.63,0.67,0.95,0.31,0.12,12.15,1.2,jja,186.45,3.01,djf,231,0.537,0.0,0.403,0.0,0.0,0.051,4.27,3.9,0.79,0.23,0.98,0.78,1.36,0.39,0.49,0.122,0.07,0.376,0.37,0.254,0.075,0.013,sm,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.971,0.0,0.0,0.0,0.0,0.0,-13.3,0.186,206599,Steyr (Zollamt),Ramingbach,71.1,290,4652483,2780122,AUT,UAT,Enns,1981,1981,0,0.0,0.0,1.002,RL35122396,20426011.0,-,0,0,l,1.811,0.536,1.232,2.287,0.486,0.414,167.35,0.272,5.628,7.6,1.652,42.9,5.877,0.0,1.789,0.534,1.231,2.361,0.471,0.397,168.722,0.251,5.738,9.417,1.687,47.667,6.379,0.0,3.38,2.9,3.11,2.6,3.46,2.27,1.63,1.81,1.79,0,0,0,13514
284,185.274,696,688,100,531,92,19.7,157,0.779,0.5,2.73,2.18,1.58,0.8,0.88,0.4,0.12,13.4,1.21,jja,195.95,3.2,djf,312,0.574,0.0,0.357,0.0,0.0,0.062,3.16,2.9,0.72,0.18,0.9,0.77,1.0,0.76,0.46,0.885,0.11,0.482,0.323,0.195,0.102,0.009,pa,0.0,0.262,0.677,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.0,-13.9,0.023,206581,Kefermarkt,Feldaist,189.2,462,4656343,2824737,AUT,UAT,Danube between Enns and Morava,1981,1981,0,0.0,0.0,0.979,RL35125646,20413473.0,-,0,0,l,0.793,0.29,1.818,2.26,0.598,0.593,181.4,0.154,2.236,4.0,2.286,20.7,5.671,0.0,0.771,0.285,1.707,2.122,0.607,0.578,181.917,0.159,2.151,3.972,2.306,16.333,5.654,0.0,2.73,2.5,2.58,2.44,3.54,2.18,1.58,0.79,0.77,0,0,0,13514
288,95.57,340,345,50,427,58,22.1,4,0.499,0.51,2.8,2.32,1.65,0.83,1.12,0.26,0.08,12.65,1.19,jja,196.6,3.22,,211,0.835,0.0,0.09,0.0,0.0,0.069,2.13,1.87,0.67,0.18,0.8,0.68,14.82,0.76,0.48,0.324,0.11,0.399,0.353,0.248,0.095,0.009,sm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-15.0,0.19,209247,St. Pantaleon (Sued),Erlabach,91.8,242,4659938,2798628,AUT,LAT,Danube between Enns and Morava,1981,1978,0,0.0,0.0,1.041,RL35123700,20422530.0,E,0,0,m,0.822,0.293,0.702,0.949,0.753,0.734,181.1,0.399,1.567,1.2,1.412,0.0,0.0,0.0,0.805,0.29,0.715,0.969,0.762,0.743,181.944,0.364,1.555,0.944,1.308,0.0,0.0,0.0,2.8,2.54,2.42,2.29,3.44,2.32,1.65,0.82,0.81,0,0,1,13514
317,285.944,369,328,115,724,100,24.2,7,0.787,0.49,2.91,2.4,1.69,0.82,1.22,0.3,0.11,11.85,1.21,jja,191.2,3.06,djf,211,0.75,0.0,0.221,0.0,0.0,0.029,3.14,2.78,0.73,0.21,0.87,0.7,6.21,0.98,0.48,0.255,0.14,0.39,0.363,0.247,0.095,0.006,sm,0.0,0.115,0.024,0.0,0.0,0.0,0.107,0.754,0.0,0.0,0.0,0.0,0.0,-12.8,0.151,207837,Matzleinsdorf,Melk,284.6,212,4713101,2801782,AUT,LAT,Danube between Enns and Morava,1981,1976,0,0.0,0.0,1.005,RL35124127,20421656.0,-,0,0,l,0.916,0.315,2.241,1.592,0.587,0.555,174.05,0.171,2.232,4.55,1.596,22.65,8.389,0.0,0.877,0.304,1.789,1.735,0.583,0.551,172.25,0.169,2.256,5.361,1.582,20.361,7.635,0.0,2.91,2.42,2.43,2.35,3.29,2.4,1.69,0.92,0.88,0,0,0,13514
323,95836.573,822,585,569,3787,151,543.8,85,0.642,0.56,3.41,2.23,1.52,0.65,0.79,0.31,0.15,5.35,1.19,jja,148.85,2.87,djf,211,0.437,0.051,0.366,0.003,0.007,0.054,3.16,2.86,0.7,0.2,0.85,0.7,8.4,0.96,0.47,0.328,0.13,0.467,0.316,0.217,0.103,0.015,sc,0.0,0.185,0.054,0.001,0.001,0.0,0.266,0.263,0.015,0.207,0.001,0.002,0.006,-11.7,0.125,207357,Kienstock,Donau,95970.0,194,4725376,2822619,AUT,LAT,Danube between Enns and Morava,1981,1997,0,0.0,0.0,0.999,RL35125456,20415491.0,A,1,0,s,1.684,0.494,1.089,1.13,0.802,0.798,205.55,0.81,3.076,0.0,0.0,0.0,0.0,0.0,1.667,0.49,1.153,1.132,0.806,0.805,207.75,0.816,3.011,0.0,0.0,0.0,0.0,0.0,3.41,2.87,3.31,2.93,4.69,2.23,1.52,1.68,1.67,0,0,1,13514
329,41.208,719,684,148,860,271,7.5,355,0.97,0.34,2.85,2.43,1.77,0.85,1.0,0.4,0.13,13.45,1.26,,199.45,3.1,djf,313,0.095,0.0,0.87,0.0,0.0,0.005,4.51,4.06,0.77,0.31,0.85,0.58,0.59,0.52,0.49,0.141,0.08,0.348,0.423,0.23,0.12,0.017,sc,0.0,0.0,0.0,0.0,0.0,0.0,0.975,0.025,0.0,0.0,0.0,0.0,0.0,-11.8,0.063,208793,Ramsau (Zentrum),Ramsaubach,40.1,468,4754100,2782491,AUT,LAT,Danube between Enns and Morava,2005,2005,0,0.0,0.0,1.028,RL35122567,20426395.0,-,0,0,l,,,,,,,,,,,,,,,1.523,0.516,1.204,0.924,0.781,0.776,191.75,0.694,3.04,0.833,1.667,0.0,0.0,0.0,2.85,2.44,2.71,2.72,3.97,2.43,1.77,,1.52,0,0,0,4533
331,216.332,677,653,171,1020,241,17.7,358,0.937,0.46,2.91,2.42,1.74,0.83,1.01,0.39,0.14,13.2,1.27,jja,196.7,3.06,djf,313,0.224,0.0,0.735,0.0,0.0,0.026,4.75,4.35,0.79,0.29,0.88,0.64,0.7,0.43,0.49,0.151,0.07,0.35,0.407,0.242,0.107,0.017,sc,0.0,0.0,0.0,0.0,0.0,0.0,0.786,0.214,0.0,0.0,0.0,0.0,0.0,-11.9,0.088,207902,St. Veit an der Goelsen,Goelsen,211.1,372,4745145,2786534,AUT,LAT,Danube between Enns and Morava,1981,1978,0,0.0,0.0,1.025,RL35122861,20424733.0,-,0,0,l,1.485,0.509,0.91,1.484,0.651,0.637,184.95,0.482,3.709,2.85,1.676,0.6,3.0,0.0,1.415,0.491,1.203,1.463,0.668,0.651,182.917,0.465,3.51,2.333,1.615,0.389,1.75,0.0,2.91,2.43,2.62,2.75,3.88,2.42,1.74,1.49,1.42,0,0,0,13514
344,53.931,371,336,108,504,106,13.2,13,0.627,0.39,2.33,2.52,1.74,1.08,1.37,0.31,0.1,14.3,1.24,jja,215.85,3.42,djf,313,0.529,0.0,0.425,0.0,0.0,0.046,3.7,3.41,0.76,0.24,0.88,0.68,4.5,0.86,0.48,0.183,0.13,0.408,0.341,0.251,0.07,0.006,sm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-15.0,0.19,209486,Boeheimkirchen,Perschling,55.3,231,4748886,2803543,AUT,LAT,Danube between Enns and Morava,1982,1982,0,0.0,0.0,0.975,RL35124189,20422793.0,-,0,0,l,0.726,0.312,1.801,1.959,0.515,0.475,186.25,0.107,2.126,9.6,2.783,45.85,9.755,0.0,0.726,0.314,1.767,1.877,0.547,0.51,186.029,0.12,2.109,8.086,2.339,29.999,8.75,0.0,2.33,1.89,2.25,2.14,3.59,2.52,1.74,0.73,0.73,0,0,0,13149
347,68.102,310,304,69,339,106,8.5,350,1.093,0.31,2.12,2.64,1.8,1.25,1.62,0.36,0.08,16.0,1.22,jja,230.85,3.64,djf,311,0.359,0.0,0.567,0.0,0.0,0.074,4.24,3.86,0.79,0.3,0.92,0.65,3.5,0.74,0.48,0.372,0.12,0.407,0.337,0.256,0.056,0.006,sm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-15.0,0.19,209569,Sieghartskirchen (Steg),Kleine Tulln,68.5,190,4767129,2811903,AUT,LAT,Danube between Enns and Morava,1985,1985,0,0.0,0.0,0.994,RL35124818,20418695.0,-,0,0,l,0.395,0.186,1.653,1.979,0.603,0.584,192.35,0.043,1.043,6.35,2.442,51.8,10.571,0.0,0.401,0.19,1.601,2.111,0.622,0.611,190.688,0.048,1.03,5.156,2.2,43.219,9.739,0.0,2.12,2.0,2.05,1.79,4.35,2.64,1.8,0.4,0.4,0,0,0,12053
